City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,sarmiento,-45.5882,-69.07,16.6,38,0,2.64,AR,1702947384
231,sucua,-2.4667,-78.1667,21.67,98,79,0.9,EC,1702947385
232,lompoc,34.6391,-120.4579,17.23,83,100,4.12,US,1702947385
233,marshalltown,42.0494,-92.908,-4.87,65,0,3.09,US,1702947385
234,lucea,18.451,-78.1736,26.03,69,0,7.22,JM,1702947385
235,san jose del guaviare,2.5729,-72.6459,23.82,95,99,0.63,CO,1702947385
236,ranau,5.9538,116.6641,25.72,81,94,0.61,MY,1702947385
237,kiruna,67.8557,20.2251,-5.49,86,75,5.14,SE,1702947385
238,codrington,-38.2667,141.9667,16.52,49,25,6.83,AU,1702947385
239,chu,43.5983,73.7614,-0.46,85,100,2.06,KZ,1702947385
240,namibe,-15.1961,12.1522,22.89,80,92,2.16,AO,1702947385
241,khark,29.2614,50.3306,19.83,58,100,1.53,IR,1702947385
242,plesetsk,62.708,40.2916,-5.81,96,100,3.75,RU,1702947386
243,el granada,37.5027,-122.4694,16.94,95,100,8.23,US,1702947386
244,new norfolk,-42.7826,147.0587,17.62,48,70,2.92,AU,1702947386
245,puerto aysen,-45.4,-72.7,7.94,98,7,0.42,CL,1702947386
246,laminusa,5.5549,120.9136,27.9,81,93,5.72,PH,1702947386
247,cabo san lucas,22.8909,-109.9124,25.98,72,79,3.12,MX,1702947344
248,zhanga buqtyrma,49.6295,83.5248,-24.35,91,100,1.36,KZ,1702947386
249,labasa,-16.4167,179.3833,29.56,75,72,4.9,FJ,1702947386
250,butembo,0.15,29.2833,15.1,94,97,1.42,CD,1702947386
251,isiro,2.7739,27.616,21.89,73,100,0.28,CD,1702947386
252,shimoda,34.6667,138.95,9.2,60,61,0.07,JP,1702947386
253,uturoa,-16.7333,-151.4333,26.86,77,100,4.51,PF,1702947386
254,plettenberg bay,-34.0527,23.3716,16.59,83,57,0.26,ZA,1702947386
255,yankton,42.8711,-97.3973,-2.71,59,0,2.06,US,1702947386
256,kadisehri,39.9957,35.7919,-0.09,57,17,0.8,TR,1702947387
257,prince rupert,54.3161,-130.3201,5.83,94,100,4.12,CA,1702947387
258,yuanping,38.7153,112.7575,-17.61,84,2,2.12,CN,1702947387
259,smithers,54.7804,-127.1743,-3.82,93,100,1.03,CA,1702947387
260,kavaratti,10.5669,72.642,25.6,88,100,4.96,IN,1702947387
261,cockburn town,21.4612,-71.1419,25.78,76,100,1.34,TC,1702947387
262,san,13.3034,-4.8956,19.35,18,100,5.65,ML,1702946921
263,vila velha,-20.3297,-40.2925,24.97,88,40,0.0,BR,1702947387
264,natal,-5.795,-35.2094,27.12,83,75,3.09,BR,1702947387
265,barcelos,41.5388,-8.6151,4.91,80,0,1.5,PT,1702947387
266,mossel bay,-34.1831,22.146,15.96,69,40,1.77,ZA,1702947387
267,kulhudhuffushi,6.6221,73.07,27.69,78,33,3.37,MV,1702947387
268,remire-montjoly,4.9167,-52.2667,26.02,94,75,0.51,GF,1702947387
